Unnamed: 0,房別,使用租金,停車費用,加人費用,固定繳費日,聯絡電話,姓名,身分證字號
0,53-101,6500,1000,100,1,931390202,王偉任,E296702570
1,53-102,5500,700,0,11,914356792, 粉厲害,H124756354
2,53-103,6000,0,0,5,955477917,曾雅玲,E296702570
3,53-201,6500,0,0,10,917114946,李品誼,B299197238
4,53-202,6000,1000,100,28,986587794,陳威廷,E295368154
5,53-203,6000,0,0,1,917129802,張雅婷,F294011773
6,53-301,6500,0,0,1,925532796,馬佳倫,D292268076
7,53-302,6100,1000,100,5,933593379,鄭翊誠,C294012419
8,53-303,5700,0,0,10,932157091,王品岳,A291513980
9,53-401,6500,1500,0,1,968562035,廖述旻,F291191023
10,53-402,6000,700,0,18,929000100,張志嘉,G197836280
11,53-403,6000,0,100,9,921736681,賴奕蒼,H195904713
12,53-501,6000,1000,0,1,924782490,羅凱軒,D295938940
13,中興路5-1,11000,0,0,1,968084796,林鳳君（小米）,D297187790
14,中興路5-2,8000,0,0,19,982396472,連瑜富,A296108354
15,中興路5-3,6000,0,100,15,954665867,劉京任,A195782881
16,中興路6-1,10000,0,0,16,960202386,陳昆昕,A199222439
17,中興路6-2,8000,0,0,17,931817840,李乃韻,C291882455
18,中興路6-3,6000,0,0,18,955477917,柳淑芬,A297714427
19,龍新新村95-3F,4500,0,100,27,982396472,黃永潁,A195727228
20,龍新新村95-2F,6000,1000,100,20,954665867,袁信凱,H195904713
21,龍新新村95-1F,8100,0,100,10,960202386,李國明,D295938940
22,中興路150弄6號5樓,6000,0,0,1,931817840,呂黃捷,D297187790
23,中興路150弄6號6樓601室,6000,0,0,27,955477917,詹勳亨,A296108354
